UDH_Atlas,T_freq_basico,T_freq_fund,T_freq_medio,T_freq_superior,I_ESCOLARIDADE,I_FREQ_PROP,IDHM,IDHM_E,IDHM_L,IDHM_R
1355030804073,84.79,89.97,23.42,5.04,0.433,0.602,0.638,0.539,0.749,0.643
1355030804074,87.88,92.00,22.46,4.68,0.463,0.689,0.657,0.603,0.743,0.634
1355030804075,89.21,94.30,44.67,14.81,0.592,0.742,0.736,0.688,0.832,0.697
1355030804076,89.36,92.92,38.44,6.54,0.499,0.721,0.698,0.638,0.796,0.670
1355030804077,89.98,94.53,42.92,16.36,0.636,0.729,0.752,0.697,0.842,0.725
1355030804078,89.33,94.95,32.94,6.54,0.499,0.721,0.698,0.638,0.796,0.670
1355030804079,84.97,90.91,29.77,5.04,0.433,0.602,0.638,0.539,0.749,0.643
1355030804080,89.98,94.53,42.92,16.36,0.636,0.729,0.752,0.697,0.842,0.725
1355030804081,88.55,94.26,31.71,6.54,0.499,0.721,0.698,0.638,0.796,0.670
1355030804082,92.92,95.95,47.54,6.91,0.572,0.721,0.723,0.667,0.819,0.693
1355030804083,95.24,96.40,58.62,6.54,0.499,0.721,0.698,0.638,0.796,0.670
1355030805001,91.74,96.74,41.78,6.21,0.545,0.701,0.703,0.645,0.797,0.675
1355030805002,91.92,95.25,42.51,10.84,0.629,0.745,0.736,0.704,0.811,0.697
1355030805003,91.74,96.74,41.78,6.21,0.545,0.701,0.703,0.645,0.797,0.675
1355030805004,91.74,96.74,41.78,6.21,0.545,0.701,0.703,0.645,0.797,0.675
1355030805005,89.47,93.56,44.84,5.45,0.396,0.598,0.661,0.521,0.804,0.689
1355030805006,92.26,96.62,65.83,35.62,0.846,0.886,0.892,0.872,0.918,0.888
1355030805007,94.37,95.14,68.66,35.62,0.846,0.886,0.892,0.872,0.918,0.888
1355030805008,93.02,94.94,57.30,35.62,0.846,0.886,0.892,0.872,0.918,0.888
1355030805009,95.24,96.40,58.62,35.62,0.846,0.886,0.892,0.872,0.918,0.888
1355030805010,95.21,97.51,72.60,35.62,0.846,0.886,0.892,0.872,0.918,0.888
1355030805011,96.37,97.22,76.89,25.52,0.725,0.769,0.826,0.754,0.911,0.820
1355030805012,88.66,92.44,41.93,6.21,0.545,0.701,0.703,0.645,0.797,0.675
1355030805013,92.26,96.62,65.83,35.62,0.846,0.886,0.892,0.872,0.918,0.888
1355030805014,92.26,96.52,52.70,35.62,0.846,0.886,0.892,0.872,0.918,0.888
1355030805015,92.26,96.52,52.70,35.62,0.846,0.886,0.892,0.872,0.918,0.888
1355030805016,92.26,96.62,65.83,35.62,0.846,0.886,0.892,0.872,0.918,0.888
1355030805017,92.26,96.62,65.83,35.62,0.846,0.886,0.892,0.872,0.918,0.888
1355030805018,92.26,96.62,65.83,35.62,0.846,0.886,0.892,0.872,0.918,0.888
1355030805019,94.15,96.15,50.37,25.52,0.725,0.769,0.826,0.754,0.911,0.820
1355030805020,92.26,96.62,65.83,35.62,0.846,0.886,0.892,0.872,0.918,0.888
1355030805021,92.26,96.62,65.83,35.62,0.846,0.886,0.892,0.872,0.918,0.888
1355030805022,96.71,97.97,78.67,43.43,0.799,0.812,0.875,0.808,0.920,0.900
1355030805023,93.45,95.25,53.47,23.34,0.680,0.785,0.800,0.748,0.892,0.766
1355030805025,87.88,92.00,22.46,4.68,0.463,0.689,0.657,0.603,0.743,0.634
1355030805026,91.92,95.25,42.51,10.84,0.629,0.745,0.736,0.704,0.811,0.697
1355030805027,91.92,95.25,42.51,10.84,0.629,0.745,0.736,0.704,0.811,0.697
1355030805028,93.84,97.96,66.97,35.62,0.846,0.886,0.892,0.872,0.918,0.888
1355030805029,92.26,96.62,65.83,35.62,0.846,0.886,0.892,0.872,0.918,0.888
1355030805030,94.45,96.57,67.81,13.80,0.679,0.757,0.796,0.730,0.896,0.772
1355030805031,94.69,96.06,64.28,25.52,0.725,0.769,0.826,0.754,0.911,0.820
1355030805032,92.48,94.24,60.96,19.11,0.601,0.734,0.775,0.687,0.887,0.763
1355030805033,94.88,96.17,72.94,21.83,0.670,0.780,0.808,0.741,0.904,0.787
1355030805034,93.45,95.25,53.47,23.34,0.680,0.785,0.800,0.748,0.892,0.766
1355030805035,86.88,90.04,41.29,6.21,0.545,0.701,0.703,0.645,0.797,0.675
1355030805036,91.92,95.25,42.51,10.84,0.629,0.745,0.736,0.704,0.811,0.697
1355030805037,93.09,95.89,68.57,21.83,0.670,0.780,0.808,0.741,0.904,0.787
1355030805038,86.40,90.81,31.48,5.86,0.425,0.601,0.639,0.535,0.754,0.648
1355030805039,91.92,95.25,42.51,10.84,0.629,0.745,0.736,0.704,0.811,0.697
1355030805040,92.59,96.20,44.69,6.21,0.545,0.701,0.703,0.645,0.797,0.675
1355030805041,87.88,92.00,22.46,4.68,0.463,0.689,0.657,0.603,0.743,0.634
1355030805042,92.93,96.32,63.53,25.52,0.725,0.769,0.826,0.754,0.911,0.820
1355030805043,89.05,91.58,42.84,6.21,0.545,0.701,0.703,0.645,0.797,0.675
1355030805044,90.74,93.89,40.66,6.21,0.545,0.701,0.703,0.645,0.797,0.675
1355030805045,87.46,91.50,25.61,10.84,0.629,0.745,0.736,0.704,0.811,0.697
1355030805046,92.26,96.62,65.83,35.62,0.846,0.886,0.892,0.872,0.918,0.888
1355030805047,90.33,94.39,52.79,6.21,0.545,0.701,0.703,0.645,0.797,0.675
1355030805048,96.19,98.64,71.58,25.52,0.725,0.769,0.826,0.754,0.911,0.820
1355030805049,90.86,93.84,43.69,10.84,0.629,0.745,0.736,0.704,0.811,0.697
1355030805050,88.14,92.24,37.41,6.21,0.545,0.701,0.703,0.645,0.797,0.675
1355030805051,91.92,95.25,42.51,10.84,0.629,0.745,0.736,0.704,0.811,0.697
1355030805052,92.48,94.24,60.96,19.11,0.601,0.734,0.775,0.687,0.887,0.763
1355030805053,96.19,98.64,71.58,25.52,0.725,0.769,0.826,0.754,0.911,0.820
1355030805054,89.47,93.56,44.84,5.45,0.396,0.598,0.661,0.521,0.804,0.689
1355030805055,89.47,93.56,44.84,5.45,0.396,0.598,0.661,0.521,0.804,0.689
1355030805056,90.70,93.92,40.14,5.45,0.396,0.598,0.661,0.521,0.804,0.689
1355030805057,92.52,94.63,59.46,6.21,0.545,0.701,0.706,0.645,0.808,0.675
1355030806001,90.86,93.84,43.69,7.21,0.533,0.686,0.696,0.631,0.797,0.670
1355030806002,89.47,93.56,44.84,5.45,0.396,0.598,0.661,0.521,0.804,0.689
1355030806003,87.46,91.50,25.61,6.18,0.486,0.629,0.652,0.577,0.748,0.642
1355030806004,90.86,93.84,43.69,5.45,0.396,0.598,0.661,0.521,0.804,0.689
1355030806005,87.88,92.00,22.46,4.68,0.463,0.689,0.657,0.603,0.743,0.634
1355030806006,97.22,98.43,77.54,23.62,0.714,0.770,0.821,0.751,0.910,0.810
1355030806007,97.22,98.43,77.54,23.62,0.714,0.770,0.821,0.751,0.910,0.810
1355030806008,97.71,98.71,81.70,40.75,0.799,0.817,0.914,0.811,0.940,1.000
1355030806009,97.71,98.71,81.70,40.75,0.799,0.817,0.914,0.811,0.940,1.000
1355030806010,84.79,89.97,23.42,3.96,0.442,0.613,0.638,0.550,0.743,0.635
1355030806011,85.43,90.73,29.79,3.96,0.442,0.613,0.638,0.550,0.743,0.635
1355030806012,85.30,90.53,21.04,5.14,0.452,0.625,0.653,0.561,0.762,0.652
1355030806013,97.22,98.43,77.54,23.62,0.714,0.770,0.821,0.751,0.910,0.810
1355030806014,88.43,93.80,28.95,6.18,0.486,0.629,0.652,0.577,0.748,0.642
1355030806015,91.76,94.68,43.93,10.95,0.571,0.686,0.725,0.645,0.838,0.706
1355030806016,94.50,97.20,52.29,40.75,0.799,0.817,0.914,0.811,0.940,1.000
1355030806017,94.60,95.27,72.03,40.75,0.799,0.817,0.914,0.811,0.940,1.000
1355030806018,97.71,98.71,81.70,40.75,0.799,0.817,0.914,0.811,0.940,1.000
1355030806019,94.90,96.93,64.34,26.36,0.674,0.786,0.792,0.747,0.877,0.759
1355030806020,97.71,98.71,81.70,40.75,0.799,0.817,0.914,0.811,0.940,1.000
1355030806021,97.71,98.71,81.70,40.75,0.799,0.817,0.914,0.811,0.940,1.000
1355030806022,97.71,98.71,81.70,40.75,0.799,0.817,0.914,0.811,0.940,1.000
1355030806023,94.90,96.93,64.34,26.36,0.674,0.786,0.792,0.747,0.877,0.759
1355030806024,94.58,96.92,51.81,26.36,0.674,0.786,0.792,0.747,0.877,0.759
1355030806025,88.43,93.80,28.95,6.18,0.486,0.629,0.652,0.577,0.748,0.642
1355030806026,88.43,93.80,28.95,6.18,0.486,0.629,0.652,0.577,0.748,0.642
1355030806027,88.43,93.80,28.95,6.18,0.486,0.629,0.652,0.577,0.748,0.642
1355030806028,88.66,92.44,41.93,6.18,0.486,0.629,0.652,0.577,0.748,0.642
1355030806029,86.11,91.28,32.42,3.96,0.442,0.613,0.638,0.550,0.743,0.635
1355030806030,97.22,98.43,77.54,23.62,0.714,0.770,0.821,0.751,0.910,0.810
1355030806031,91.56,95.63,49.41,26.36,0.674,0.786,0.792,0.747,0.877,0.759
1355030806032,94.90,96.93,64.34,26.36,0.674,0.786,0.792,0.747,0.877,0.759
1355030806033,87.43,90.32,45.28,2.36,0.422,0.611,0.663,0.540,0.802,0.672
1355030806034,92.60,96.61,48.48,16.52,0.654,0.716,0.772,0.695,0.881,0.750
1355030806035,92.30,94.80,58.75,10.38,0.573,0.703,0.736,0.657,0.849,0.714
1355030806036,87.51,91.90,36.45,7.21,0.533,0.686,0.696,0.631,0.797,0.670
1355030806037,97.22,98.43,77.54,23.62,0.714,0.770,0.821,0.751,0.910,0.810
1355030806038,94.90,96.93,64.34,26.36,0.674,0.786,0.792,0.747,0.877,0.759
1355030806039,87.15,91.95,33.73,4.35,0.479,0.686,0.684,0.609,0.789,0.666
1355030806040,88.35,91.47,48.18,10.03,0.595,0.758,0.738,0.699,0.826,0.696
1355030806041,91.76,94.68,43.93,10.95,0.571,0.686,0.725,0.645,0.838,0.706
1355030806043,88.78,94.23,28.47,3.96,0.442,0.613,0.638,0.550,0.743,0.635
1355030806044,94.90,96.93,64.34,26.36,0.674,0.786,0.792,0.747,0.877,0.759
1355030806045,90.09,92.24,58.27,13.39,0.585,0.779,0.771,0.708,0.872,0.742
1355030806046,90.09,92.24,58.27,13.39,0.585,0.779,0.771,0.708,0.872,0.742
1355030806047,91.76,94.68,43.93,10.95,0.571,0.686,0.725,0.645,0.838,0.706
1355030806048,88.70,91.33,34.59,2.36,0.422,0.611,0.663,0.540,0.802,0.672
1355030806049,88.43,93.80,28.95,6.18,0.486,0.629,0.652,0.577,0.748,0.642
1355030806050,86.95,92.62,34.67,5.86,0.425,0.601,0.639,0.535,0.754,0.648
1355030806051,90.71,93.12,48.99,3.96,0.442,0.613,0.638,0.550,0.743,0.635
1355030806052,86.95,92.62,34.67,5.86,0.425,0.601,0.639,0.535,0.754,0.648
1355030806053,97.71,98.71,81.70,40.75,0.799,0.817,0.914,0.811,0.940,1.000
1355030806054,90.09,92.24,58.27,13.39,0.585,0.779,0.771,0.708,0.872,0.742
1355030806055,84.97,90.91,29.77,2.36,0.422,0.611,0.663,0.540,0.802,0.672
1355030806056,90.09,92.24,58.27,13.39,0.585,0.779,0.771,0.708,0.872,0.742
1355030806057,88.99,93.31,46.53,6.18,0.486,0.629,0.652,0.577,0.748,0.642
1355030806058,87.58,90.57,35.91,3.60,0.556,0.622,0.691,0.599,0.811,0.678
1355030806059,88.70,91.33,34.59,2.36,0.422,0.611,0.663,0.540,0.802,0.672
1355030806060,97.22,98.43,77.54,23.62,0.714,0.770,0.821,0.751,0.910,0.810
1355030806061,91.76,94.68,43.93,10.95,0.571,0.686,0.725,0.645,0.838,0.706
1355030806062,90.19,93.60,37.32,7.21,0.533,0.686,0.696,0.631,0.797,0.670
1355030806063,94.85,97.71,59.14,16.52,0.654,0.716,0.772,0.695,0.881,0.750
1355030806065,93.91,96.71,51.09,13.39,0.585,0.779,0.771,0.708,0.872,0.742
1355030806066,97.27,98.08,72.69,23.62,0.714,0.770,0.821,0.751,0.910,0.810
1355030806067,88.35,91.47,48.18,10.03,0.595,0.758,0.738,0.699,0.826,0.696
1355030806068,92.84,95.18,62.45,23.62,0.714,0.770,0.821,0.751,0.910,0.810
1355030806069,94.90,96.93,64.34,26.36,0.674,0.786,0.792,0.747,0.877,0.759
1355030806070,92.92,95.95,47.54,10.03,0.595,0.758,0.738,0.699,0.826,0.696
1355030806071,94.90,96.93,64.34,26.36,0.674,0.786,0.792,0.747,0.877,0.759
1355030806072,88.43,93.80,28.95,6.18,0.486,0.629,0.652,0.577,0.748,0.642
1355030806073,87.53,92.08,37.23,6.18,0.486,0.629,0.652,0.577,0.748,0.642
1355030806074,88.66,92.44,41.93,6.18,0.486,0.629,0.652,0.577,0.748,0.642
1355030806075,94.50,97.20,52.29,40.75,0.799,0.817,0.914,0.811,0.940,1.000
1355030806076,96.58,98.05,75.22,40.75,0.799,0.817,0.914,0.811,0.940,1.000
1355030807001,91.36,94.25,41.79,7.54,0.645,0.720,0.730,0.694,0.819,0.684
1355030807002,91.36,94.25,41.79,7.54,0.645,0.720,0.730,0.694,0.819,0.684
1355030807003,91.36,94.25,41.79,7.54,0.645,0.720,0.730,0.694,0.819,0.684
1355030807004,94.00,95.77,58.11,19.21,0.677,0.797,0.804,0.755,0.894,0.769
1355030807005,90.19,95.86,40.58,6.83,0.570,0.680,0.700,0.641,0.798,0.671
1355030807006,91.36,94.25,41.79,7.54,0.645,0.720,0.730,0.694,0.819,0.684
1355030807007,92.92,95.54,47.11,7.60,0.634,0.690,0.713,0.671,0.804,0.673
1355030807008,94.43,98.83,54.42,8.57,0.621,0.748,0.726,0.703,0.807,0.675
1355030807009,94.01,96.38,52.66,5.51,0.658,0.719,0.730,0.698,0.815,0.684
1355030807010,91.94,95.18,36.57,7.54,0.645,0.720,0.730,0.694,0.819,0.684
1355030807011,88.54,92.53,34.28,2.40,0.415,0.644,0.633,0.556,0.737,0.618
1355030807012,88.54,92.53,34.28,2.40,0.415,0.644,0.633,0.556,0.737,0.618
1355030807013,92.92,95.54,47.11,7.60,0.634,0.690,0.713,0.671,0.804,0.673
1355030807014,88.54,92.53,34.28,2.40,0.415,0.644,0.633,0.556,0.737,0.618
1355030807015,84.05,87.56,37.92,2.40,0.415,0.644,0.633,0.556,0.737,0.618
1355030807016,88.54,92.53,34.28,2.40,0.415,0.644,0.633,0.556,0.737,0.618
1355030807017,87.43,90.32,45.28,7.54,0.645,0.720,0.730,0.694,0.819,0.684
1355030808001,87.88,92.00,22.46,4.68,0.463,0.689,0.657,0.603,0.743,0.634
1355030808002,86.38,90.48,44.43,5.45,0.396,0.598,0.661,0.521,0.804,0.689
1355030808003,85.30,90.53,21.04,5.14,0.452,0.625,0.653,0.561,0.762,0.652
1355030808004,88.55,94.26,31.71,5.14,0.452,0.625,0.653,0.561,0.762,0.652
1355030808005,88.55,93.20,33.29,5.14,0.452,0.625,0.653,0.561,0.762,0.652
1355030808006,88.43,93.80,28.95,5.45,0.396,0.598,0.661,0.521,0.804,0.689
1355030808007,86.95,92.62,34.67,5.86,0.425,0.601,0.639,0.535,0.754,0.648
1355030808008,92.03,93.99,64.48,19.85,0.756,0.828,0.834,0.803,0.907,0.797
1355030808009,92.03,93.99,64.48,19.85,0.756,0.828,0.834,0.803,0.907,0.797
1355030808010,85.30,90.53,21.04,5.14,0.452,0.625,0.653,0.561,0.762,0.652
1355030808011,92.03,93.99,64.48,19.85,0.756,0.828,0.834,0.803,0.907,0.797
1355030808012,92.26,96.62,65.83,24.01,0.745,0.837,0.846,0.805,0.912,0.826
1355030808013,96.19,98.64,71.58,24.01,0.745,0.837,0.846,0.805,0.912,0.826
1355030808014,92.03,93.99,64.48,19.85,0.756,0.828,0.834,0.803,0.907,0.797
1355030808015,85.30,90.53,21.04,3.96,0.442,0.613,0.638,0.550,0.743,0.635
1355030808016,97.71,98.71,81.70,40.75,0.799,0.817,0.914,0.811,0.940,1.000
1355030808017,92.26,96.62,65.83,24.01,0.745,0.837,0.846,0.805,0.912,0.826
1355030808018,89.47,93.56,44.84,5.45,0.396,0.598,0.661,0.521,0.804,0.689
1355030808019,92.03,93.99,64.48,19.85,0.756,0.828,0.834,0.803,0.907,0.797
1355030808020,92.03,93.99,64.48,19.85,0.756,0.828,0.834,0.803,0.907,0.797
1355030808021,92.64,95.48,53.33,19.85,0.756,0.828,0.834,0.803,0.907,0.797
1355030808022,92.37,97.03,51.23,11.03,0.636,0.768,0.756,0.721,0.844,0.711
1355030808023,94.93,96.67,53.78,19.13,0.655,0.787,0.781,0.740,0.868,0.741
1355030808024,95.65,97.44,70.99,18.65,0.623,0.778,0.780,0.722,0.878,0.749
1355030808025,94.67,95.39,75.18,21.95,0.676,0.793,0.800,0.752,0.890,0.765
1355030808026,92.74,95.06,54.47,21.83,0.677,0.786,0.793,0.748,0.883,0.756
1355030808027,94.93,96.67,53.78,19.13,0.655,0.787,0.781,0.740,0.868,0.741
1355030808028,92.03,93.99,64.48,19.85,0.756,0.828,0.834,0.803,0.907,0.797
1355030808029,88.55,93.20,33.29,4.95,0.472,0.678,0.683,0.601,0.792,0.668
1355030808030,92.74,95.06,54.47,21.83,0.677,0.786,0.793,0.748,0.883,0.756
1355030808031,89.33,92.73,41.06,21.83,0.677,0.786,0.793,0.748,0.883,0.756
1355030808032,94.93,96.67,53.78,19.13,0.655,0.787,0.781,0.740,0.868,0.741
1355030808033,92.47,96.33,54.81,11.03,0.636,0.768,0.756,0.721,0.844,0.711
1355030808034,92.63,95.09,59.36,11.03,0.636,0.768,0.756,0.721,0.844,0.711
1355030808035,87.88,92.00,22.46,11.03,0.636,0.768,0.756,0.721,0.844,0.711
1355030808036,92.03,93.99,64.48,19.85,0.756,0.828,0.834,0.803,0.907,0.797
1355030808037,91.18,95.06,46.19,11.03,0.636,0.768,0.756,0.721,0.844,0.711
1355030808038,93.09,96.37,58.58,21.83,0.677,0.786,0.793,0.748,0.883,0.756
1355030808039,91.87,93.61,52.66,4.95,0.472,0.678,0.683,0.601,0.792,0.668
1355030808040,91.18,95.06,46.19,11.03,0.636,0.768,0.756,0.721,0.844,0.711
1355030808041,94.82,97.83,60.12,19.13,0.655,0.787,0.781,0.740,0.868,0.741
1355030809001,92.77,95.31,37.62,18.32,0.669,0.772,0.776,0.736,0.866,0.734
1355030809002,94.93,96.67,53.78,17.72,0.621,0.745,0.766,0.701,0.867,0.740
1355030809003,92.77,95.31,37.62,18.32,0.669,0.772,0.776,0.736,0.866,0.734
1355030809004,92.94,96.13,48.96,16.42,0.618,0.702,0.745,0.673,0.850,0.722
1355030809005,92.03,94.48,65.94,30.42,0.795,0.765,0.845,0.775,0.914,0.851
1355030809006,91.49,94.56,42.39,16.42,0.618,0.702,0.745,0.673,0.850,0.722
1355030809007,96.36,97.85,68.77,30.42,0.795,0.765,0.845,0.775,0.914,0.851
1355030809008,92.03,94.48,65.94,30.42,0.795,0.765,0.845,0.775,0.914,0.851
1355030809009,92.03,94.48,65.94,30.42,0.795,0.765,0.845,0.775,0.914,0.851
1355030809010,93.93,95.65,63.53,30.42,0.795,0.765,0.845,0.775,0.914,0.851
1355030809011,94.32,98.16,55.49,27.08,0.760,0.784,0.835,0.776,0.910,0.823
1355030809012,88.14,92.24,37.41,7.59,0.537,0.664,0.693,0.619,0.801,0.671
1355030809013,96.82,97.95,71.86,26.75,0.834,0.825,0.870,0.828,0.915,0.870
1355030809014,96.19,98.64,71.58,27.08,0.760,0.784,0.835,0.776,0.910,0.823
1355030809015,96.93,98.30,71.17,26.75,0.834,0.825,0.870,0.828,0.915,0.870
1355030809016,94.44,95.97,64.35,26.75,0.834,0.825,0.870,0.828,0.915,0.870
1355030809017,92.03,94.48,65.94,30.42,0.795,0.765,0.845,0.775,0.914,0.851
1355030809018,96.82,97.95,71.86,30.42,0.795,0.765,0.845,0.775,0.914,0.851
1355030809019,94.44,95.97,64.35,26.75,0.834,0.825,0.870,0.828,0.915,0.870
1355030809020,95.17,97.93,64.18,19.81,0.660,0.781,0.806,0.738,0.904,0.786
1355030809021,92.03,94.48,65.94,30.42,0.795,0.765,0.845,0.775,0.914,0.851
1355030809022,94.32,98.16,55.49,27.08,0.760,0.784,0.835,0.776,0.910,0.823
1355030809023,92.77,95.31,37.62,18.32,0.669,0.772,0.776,0.736,0.866,0.734
1355030809024,92.94,96.13,48.96,16.42,0.618,0.702,0.745,0.673,0.850,0.722
1355030809025,94.93,96.67,53.78,17.72,0.621,0.745,0.766,0.701,0.867,0.740
1355030809026,83.51,85.31,32.54,5.38,0.530,0.681,0.692,0.626,0.794,0.668
1355030809027,88.42,91.62,42.28,8.64,0.610,0.732,0.736,0.689,0.832,0.696
1355030809028,88.14,92.24,37.41,7.59,0.537,0.664,0.693,0.619,0.801,0.671
1355030809029,89.84,94.52,35.70,3.78,0.512,0.669,0.692,0.612,0.803,0.673
1355030809030,94.58,96.92,51.81,27.08,0.760,0.784,0.835,0.776,0.910,0.823
1355030809031,88.70,91.33,34.59,5.38,0.530,0.681,0.692,0.626,0.794,0.668
1355030809032,88.70,91.33,34.59,3.78,0.512,0.669,0.692,0.612,0.803,0.673
1355030809033,92.92,95.95,47.54,8.64,0.610,0.732,0.736,0.689,0.832,0.696
1355030809034,94.44,95.97,64.35,26.75,0.834,0.825,0.870,0.828,0.915,0.870
1355030809035,91.36,94.25,41.79,8.64,0.610,0.732,0.736,0.689,0.832,0.696
1355030809036,86.71,91.85,30.40,5.38,0.530,0.681,0.692,0.626,0.794,0.668
1355030809037,89.84,94.52,35.70,3.78,0.512,0.669,0.692,0.612,0.803,0.673
1355030809038,94.93,96.67,53.78,17.72,0.621,0.745,0.766,0.701,0.867,0.740
1355030809039,92.78,94.77,60.26,19.81,0.660,0.781,0.806,0.738,0.904,0.786
1355030809040,92.92,95.95,47.54,8.64,0.610,0.732,0.736,0.689,0.832,0.696
1355030810001,89.47,93.56,44.84,5.45,0.396,0.598,0.661,0.521,0.804,0.689
1355030810002,91.59,93.06,32.21,3.96,0.442,0.613,0.638,0.550,0.743,0.635
1355030810003,90.17,92.94,39.85,2.80,0.471,0.709,0.668,0.619,0.749,0.643
1355030810004,91.87,93.61,52.66,10.60,0.614,0.725,0.723,0.686,0.812,0.679
1355030810005,86.71,91.85,30.40,5.45,0.396,0.598,0.661,0.521,0.804,0.689
1355030810006,88.55,92.14,27.27,4.68,0.463,0.689,0.657,0.603,0.743,0.634
1355030810007,88.43,93.80,28.95,2.80,0.471,0.709,0.668,0.619,0.749,0.643
1355030810008,88.55,93.20,33.29,5.45,0.396,0.598,0.661,0.521,0.804,0.689
1355030810009,97.71,98.71,81.70,40.75,0.799,0.817,0.914,0.811,0.940,1.000
1355030810010,95.24,96.40,58.62,12.12,0.621,0.756,0.750,0.708,0.838,0.712
1355030810011,88.96,90.60,49.33,10.60,0.614,0.725,0.723,0.686,0.812,0.679
1355030810012,92.95,94.16,58.35,8.59,0.599,0.718,0.719,0.676,0.811,0.678
1355030810013,89.90,93.23,46.85,7.42,0.533,0.715,0.719,0.648,0.825,0.695
1355030810014,92.19,95.86,54.72,10.60,0.614,0.725,0.723,0.686,0.812,0.679
1355030810015,89.43,91.57,42.98,5.69,0.484,0.693,0.687,0.615,0.789,0.667
1355030810016,91.74,94.97,52.01,12.12,0.621,0.756,0.750,0.708,0.838,0.712
1355030810017,92.80,96.38,57.02,10.90,0.588,0.770,0.737,0.704,0.823,0.691
1355030810018,92.10,92.85,44.46,10.90,0.588,0.770,0.737,0.704,0.823,0.691
1355030810019,90.17,92.94,39.85,2.80,0.471,0.709,0.668,0.619,0.749,0.643
1355030810020,87.88,92.00,22.46,4.68,0.463,0.689,0.657,0.603,0.743,0.634
1355030810021,92.59,96.20,44.69,8.59,0.599,0.718,0.719,0.676,0.811,0.678
1355030810022,90.17,92.94,39.85,2.80,0.471,0.709,0.668,0.619,0.749,0.643
1355030810023,90.17,92.94,39.85,2.80,0.471,0.709,0.668,0.619,0.749,0.643
1355030810024,85.55,91.16,29.79,7.42,0.533,0.715,0.719,0.648,0.825,0.695
1355030810025,88.07,93.71,42.96,12.12,0.621,0.756,0.750,0.708,0.838,0.712
1355030810026,95.24,96.40,58.62,12.12,0.621,0.756,0.750,0.708,0.838,0.712
1355030810027,95.24,96.40,58.62,12.12,0.621,0.756,0.750,0.708,0.838,0.712
1355030810028,88.14,92.24,37.41,7.42,0.533,0.715,0.719,0.648,0.825,0.695
1355030810029,91.87,93.61,52.66,5.69,0.484,0.693,0.687,0.615,0.789,0.667
1355030810030,95.24,96.40,58.62,12.12,0.621,0.756,0.750,0.708,0.838,0.712
1355030810031,89.43,91.57,42.98,5.69,0.484,0.693,0.687,0.615,0.789,0.667
1355030810032,88.96,90.60,49.33,10.60,0.614,0.725,0.723,0.686,0.812,0.679
1355030810033,91.36,94.25,41.79,7.42,0.533,0.715,0.719,0.648,0.825,0.695
1355030810034,92.10,92.85,44.46,10.90,0.588,0.770,0.737,0.704,0.823,0.691
1355030810035,93.77,96.15,46.05,7.42,0.533,0.715,0.719,0.648,0.825,0.695
1355030810036,89.27,93.63,30.75,8.59,0.599,0.718,0.719,0.676,0.811,0.678
1355030811001,86.38,90.48,44.43,2.85,0.483,0.600,0.663,0.558,0.787,0.663
1355030811002,86.95,92.62,34.67,2.85,0.483,0.600,0.663,0.558,0.787,0.663
1355030811003,91.76,94.68,43.93,12.62,0.588,0.691,0.746,0.655,0.864,0.733
1355030811004,92.84,95.18,62.45,25.37,0.732,0.797,0.833,0.775,0.911,0.819
1355030811005,89.48,91.96,48.61,19.81,0.667,0.728,0.769,0.707,0.858,0.749
1355030811006,91.74,96.74,41.78,2.85,0.483,0.600,0.663,0.558,0.787,0.663
1355030811007,86.38,90.48,44.43,2.85,0.483,0.600,0.663,0.558,0.787,0.663
1355030811008,86.38,90.48,44.43,2.85,0.483,0.600,0.663,0.558,0.787,0.663
1355030811009,86.38,90.48,44.43,2.85,0.483,0.600,0.663,0.558,0.787,0.663
1355030811010,92.59,96.20,44.69,2.85,0.483,0.600,0.663,0.558,0.787,0.663
1355030811011,86.38,90.48,44.43,2.85,0.483,0.600,0.663,0.558,0.787,0.663
1355030811012,92.52,95.99,42.99,2.85,0.483,0.600,0.663,0.558,0.787,0.663
1355030811013,92.52,95.99,42.99,2.85,0.483,0.600,0.663,0.558,0.787,0.663
1355030811014,94.77,95.55,67.65,41.17,0.862,0.887,0.896,0.879,0.919,0.890
1355030811015,89.68,91.11,60.47,42.68,0.828,0.906,0.879,0.879,0.914,0.844
1355030811016,93.45,95.02,60.46,25.37,0.732,0.797,0.833,0.775,0.911,0.819
1355030811017,96.12,99.86,61.55,42.68,0.828,0.906,0.879,0.879,0.914,0.844
1355030811018,97.00,97.62,74.96,35.43,0.817,0.870,0.884,0.852,0.917,0.883
1355030811019,96.58,98.84,80.20,36.98,0.849,0.816,0.902,0.827,0.929,0.956
1355030811020,86.38,90.48,44.43,2.85,0.483,0.600,0.663,0.558,0.787,0.663
1355030811021,87.53,92.08,37.23,2.85,0.483,0.600,0.663,0.558,0.787,0.663
1355030811022,92.48,94.24,60.96,21.94,0.623,0.800,0.792,0.736,0.887,0.762
1355030811023,96.29,97.36,79.33,35.43,0.817,0.870,0.884,0.852,0.917,0.883
1355030811024,97.00,97.62,74.96,35.43,0.817,0.870,0.884,0.852,0.917,0.883
1355030811025,97.00,97.62,74.96,35.43,0.817,0.870,0.884,0.852,0.917,0.883
1355030811026,97.75,99.16,73.83,36.42,0.783,0.803,0.876,0.796,0.923,0.916
1355030811027,98.17,98.43,75.50,35.43,0.817,0.870,0.884,0.852,0.917,0.883
