Cod_setor,Populacao
355030804000080,713
355030804000081,685
355030804000082,902
355030804000083,602
355030804000084,769
355030804000085,557
355030804000086,807
355030804000087,513
355030804000088,889
355030804000089,442
355030804000090,754
355030804000091,709
355030804000092,695
355030804000093,620
355030804000094,783
355030804000095,692
355030804000096,1155
355030804000097,769
355030804000098,599
355030804000099,753
355030804000100,938
355030804000101,691
355030804000102,989
355030804000103,661
355030804000104,1137
355030804000105,584
355030804000106,1042
355030804000107,912
355030804000108,1036
355030804000109,149
355030804000110,608
355030804000111,1003
355030804000112,960
355030804000113,913
355030804000114,505
355030804000115,439
355030804000116,520
355030804000117,670
355030804000118,791
355030804000119,500
355030804000120,603
355030804000121,437
355030804000122,722
355030804000123,557
355030804000124,590
355030804000125,47
355030805000001,860
355030805000002,659
355030805000003,486
355030805000004,340
355030805000005,566
355030805000006,888
355030805000007,1239
355030805000008,455
355030805000009,241
355030805000010,649
355030805000011,660
355030805000012,666
355030805000013,363
355030805000014,658
355030805000015,666
355030805000016,472
355030805000017,596
355030805000018,861
355030805000019,797
355030805000020,494
355030805000021,612
355030805000022,992
355030805000023,1101
355030805000024,703
355030805000025,484
355030805000026,775
355030805000027,900
355030805000028,677
355030805000029,772
355030805000030,700
355030805000031,447
355030805000032,752
355030805000033,625
355030805000034,715
355030805000035,888
355030805000036,642
355030805000037,552
355030805000038,442
355030805000039,553
355030805000040,601
355030805000041,349
355030805000042,526
355030805000043,698
355030805000044,824
355030805000045,852
355030805000046,639
355030805000047,553
355030805000048,501
355030805000049,528
355030805000050,413
355030805000051,1172
355030805000052,655
355030805000053,411
355030805000054,564
355030805000055,561
355030805000056,677
355030805000057,867
355030805000058,807
355030805000059,280
355030805000060,709
355030805000061,837
355030805000062,752
355030805000063,1051
355030805000064,632
355030805000065,707
355030805000066,509
355030805000067,440
355030805000068,681
355030805000069,1043
355030805000070,827
355030805000071,118
355030805000072,681
355030805000073,749
355030805000074,822
355030805000075,1045
355030805000076,850
355030805000077,648
355030805000078,699
355030805000079,607
355030805000080,388
355030805000081,762
355030805000082,534
355030805000083,684
355030805000084,619
355030805000085,790
355030805000086,630
355030805000087,465
355030805000088,641
355030805000089,730
355030805000090,552
355030805000091,931
355030805000092,919
355030805000093,726
355030805000094,633
355030805000095,880
355030805000096,726
355030805000097,551
355030805000098,1586
355030805000099,1022
355030805000100,1036
355030805000101,614
355030805000102,1149
355030805000103,1220
355030805000104,1084
355030805000105,986
355030805000106,776
355030805000107,715
355030805000108,567
355030805000109,970
355030805000110,712
355030805000111,871
355030805000112,880
355030805000113,601
355030805000114,429
355030805000115,587
355030805000116,583
355030805000117,583
355030805000118,736
355030805000119,791
355030805000120,766
355030805000121,884
355030805000122,537
355030805000123,753
355030805000124,275
355030805000125,1001
355030805000126,731
355030805000127,1183
355030805000128,604
355030805000129,612
355030805000130,1239
355030805000131,948
355030805000132,1120
355030805000133,1075
355030805000134,894
355030805000135,485
355030805000136,681
355030805000137,707
355030805000138,735
355030805000139,902
355030805000140,619
355030805000141,749
355030805000142,561
355030805000143,724
355030805000144,387
355030805000145,1005
355030805000146,497
355030805000147,321
355030805000148,335
355030805000149,447
355030806000001,58
355030806000002,474
355030806000003,343
355030806000004,362
355030806000005,669
355030806000006,386
355030806000007,494
355030806000008,987
355030806000009,371
355030806000010,513
355030806000011,328
355030806000012,525
355030806000013,582
355030806000014,398
355030806000015,1221
355030806000016,356
355030806000017,231
355030806000018,407
355030806000019,658
355030806000020,556
355030806000021,534
355030806000022,514
355030806000023,366
355030806000024,755
355030806000025,419
355030806000026,298
355030806000027,266
355030806000028,764
355030806000029,286
355030806000030,181
355030806000035,2
355030806000037,79
355030807000001,656
355030807000002,705
355030807000003,569
355030807000004,500
355030807000005,435
355030807000006,441
355030807000007,503
355030807000008,705
355030807000009,629
355030807000010,521
355030807000011,664
355030807000012,501
355030807000013,367
355030807000014,504
355030807000015,564
355030807000016,537
355030807000017,664
355030807000018,727
355030807000019,482
355030807000020,642
355030807000021,422
355030807000022,477
355030807000023,174
355030807000024,503
355030807000025,397
355030807000026,635
355030807000027,591
355030807000028,390
355030807000029,90
355030807000030,336
355030807000031,483
355030807000032,371
355030807000033,589
355030807000034,454
355030807000035,460
355030807000036,467
355030807000037,735
355030807000038,353
355030807000039,515
355030807000040,446
355030807000041,498
355030807000042,499
355030807000043,561
355030807000044,638
355030807000045,129
355030807000046,264
355030807000047,578
355030807000048,596
355030807000049,505
355030807000050,559
355030807000051,473
355030807000052,1114
355030807000053,229
355030807000054,917
355030807000055,540
355030807000056,243
355030807000057,702
355030807000058,491
355030807000059,660
355030807000060,213
355030807000061,203
355030807000062,481
355030807000063,447
355030807000064,479
355030807000065,401
355030807000066,816
355030807000067,701
355030807000068,563
355030807000069,205
355030807000070,505
355030807000071,573
355030807000072,467
355030807000073,427
355030807000074,536
355030807000075,440
355030807000076,408
355030807000077,391
355030807000078,545
355030807000079,661
355030807000080,482
355030807000081,23
355030807000082,309
355030807000083,442
355030807000084,300
355030807000085,148
355030807000086,471
355030807000087,479
355030807000088,346
355030807000089,691
355030807000090,736
355030807000091,718
355030807000092,532
355030807000093,539
355030807000094,624
355030807000095,766
355030807000096,240
355030807000097,47
355030807000098,402
355030807000099,1268
355030807000100,203
355030807000101,689
355030807000102,446
355030807000103,371
355030807000104,753
355030807000105,771
355030807000106,909
355030807000107,666
355030807000108,870
355030807000109,352
355030807000110,314
355030807000111,884
355030807000112,289
355030807000113,395
355030807000114,706
355030807000115,468
355030807000116,290
355030807000117,329
355030807000118,622
355030807000119,647
355030807000120,424
355030807000121,510
355030807000123,629
355030807000124,606
355030807000125,382
355030807000126,231
